Pese O
al O
emperador O
y O
a O
siete O
imperios O
Así O
nos O
lleva O
por O
Mesopotamia B-LOC
rotos O
desnudos O
llenos O
de O
improperios O
en O
vez O
de O
gloria O
a O
procurar O
infamia O
Está O
hecho O
un O
Nerón O
de O
vituperios O
y O
un O
sátiro O
en O
las O
bodas O
de O
Hipodamia O
su O
hijo O
en O
Roma B-LOC
y O
vamos O
por O
diversas O
mares O
nosotros O
a O
rendir O
los O
Persas O
Cuándo O
escriben O
al O
César O
que O
Carino O
su O
hijo O
infamia O
del O
valor O
romano O
vive O
con O
tanta O
furia O
y O
desatino O
nos O
lleva O
a O
la O
conquista O
del O
Persiano O
Es O
digno O
de O
aras O
y O
de O
honor O
divino O
su O
fuerte O
hermano O
el O
César O
Numeriano O
y O
llévale O
a O
morir O
por O
la O
inclemencia O
de O
julio O
a O
hacer O
al O
Persa O
resistencia O
Si O
Numeriano O
menos O
bueno O
fuera O
no O
quedara O
soldado O
Aurelio O
Caro O
que O
tus O
lábaros O
y O
águilas O
siguiera O
en O
tanto O
estiman O
su O
dichoso O
amparo O
cuando O
pensó O
el O
ejército O
que O
diera O
vuelta O
a O
la O
patria O
ese O
tu O
pecho O
avaro O
nos O
llevas O
a O
los O
Persas O
rebelados O
por O
julio O
ardiente O
esto O
sufrís O
soldados O
sale O
Diocleciano O
soldado O
Por O
el O
sagrado O
Júpiter O
que O
adora O
el O
monte O
Olimpo O
que O
si O
dos O
hubiera O
de O
la O
opinión O
que O
estoy O
que O
desde O
ahora O
ningún O
soldado O
Aurelio O
te O
siguiera O
ahora O
nos O
acercas O
al O
aurora O
cuando O
el O
sol O
en O
la O
Virgen O
reverbera O
y O
el O
fogoso O
León O
sus O
rayos O
siente O
más O
que O
la O
fuerza O
de O
Hércules O
valiente O
Tienes O
seso O
por O
dicha O
Tienes O
alma O
Tras O
todo O
lo O
que O
habemos O
navegado O
ya O
con O
tormenta O
y O
ya O
con O
blanda O
calma O
hasta O
las O
fuentes O
del O
Jordán O
sagrado O
nos O
llevas O
por O
entre O
una O
y O
otra O
palma O
a O
la O
arena O
del O
Tigris O
y O
al O
helado O
Cidno O
que O
quiso O
darle O
muerte O
fiera O
al O
invicto O
Alejandro O
en O
su O
ribera O
Maximiano O
Valiente O
Diocleciano O
Marcio O
Curio O
qué O
es O
esto O
Hacemos O
prueba O
deste O
francés O
emperador O
romano O
que O
al O
reino O
de O
Semíramis O
nos O
lleva O
Bien O
puede O
agradecer O
a O
Numeriano O
porque O
esto O
más O
su O
libertad O
le O
deba O
que O
no O
se O
nombre O
César O
Desatino O
cuando O
me O
cuentan O
cosas O
de O
Carino O
Dicen O
que O
vive O
en O
Roma B-LOC
deshonesto O
forzando O
las O
mujeres O
más O
honradas O
sin O
que O
se O
escapen O
senadores O
desto O
ni O
las O
monjas O
a O
Vesta O
reservadas O
que O
a O
mil O
nobles O
ha O
muerto O
y O
descompuesto O
sin O
respetar O
las O
canas O
veneradas O
de O
hombres O
que O
han O
sido O
cónsules O
jüeces O
pretores O
y O
triunfado O
muchas O
veces O
Por O
qué O
no O
puso O
en O
Roma B-LOC
a O
Numeriano O
hermano O
de O
esa O
fiera O
sanguinosa O
tan O
docto O
en O
todas O
letras O
tan O
humano O
y O
fuera O
su O
república O
dichosa O
volviera O
a O
ver O
los O
siglos O
de O
Trajano O
la O
patria O
en O
tales O
Césares O
famosa O
Por O
no O
acertar O
en O
nada O
y O
porque O
Roma B-LOC
con O
tales O
monstruos O
la O
soberbia O
doma O
Hay O
algo O
que O
comer O
Qué O
comer O
pides O
Ni O
dinero O
Dinero O
Si O
ese O
hubiera O
los O
trabajos O
o O
fábulas O
de O
Alcides O
y O
muchos O
más O
sospecho O
que O
sufriera O
No O
fuera O
César O
yo O
tú O
que O
presides O
en O
tanta O
gente O
belicosa O
y O
fiera O
por O
qué O
no O
los O
gobiernas O
y O
sustentas O
Ayudadme O
a O
decir O
a O
Aurelio O
afrentas O
Es O
un O
caduco O
Es O
un O
borracho O
Es O
loco O
Es O
el O
emperador O
hablemos O
paso O
que O
no O
se O
ha O
de O
tener O
el O
cetro O
en O
poco O
aunque O
le O
tenga O
un O
bárbaro O
Circaso O
Tú O
no O
nos O
provocaste O
Si O
os O
provoco O
ya O
me O
arrepiento O
Ya O
no O
hace O
al O
caso O
Dígooslo O
así O
porque O
ya O
ser O
podría O
que O
fuese O
emperador O
Quién O
Yo O
algún O
día O
entra O
Camila O
labradora O
con O
una O
cesta O
de O
panecillos O
Quién O
compra O
el O
buen O
pan O
soldados O
Blanco O
y O
bien O
cocido O
está O
Vivanderos O
andan O
ya O
No O
estamos O
mal O
alojados O
Murmuramos O
sin O
razón O
del O
César O
Sí O
mas O
dinero O
para O
comprarlo O
Hoy O
espero O
socorro O
Hablad O
sin O
pasión O
y O
volved O
a O
decir O
bien O
del O
César O
Cuando O
comiere O
Quién O
quiere O
el O
pan O
quién O
lo O
quiere O
Yo O
lo O
quiero O
Y O
yo O
también O
Dame O
así O
te O
guarde O
el O
cielo O
pues O
que O
me O
conoces O
ya O
Camila O
un O
pan O
Quién O
me O
da O
dinero O
Dinero O
apelo O
mas O
yo O
te O
le O
pagaré O
cuando O
sea O
emperador O
de O
Roma B-LOC
Gracioso O
humor O
No O
puede O
ser O
Yo O
qué O
sé O
Pero O
otras O
veces O
soldado O
me O
has O
dicho O
en O
tanta O
pobreza O
que O
en O
viéndote O
en O
la O
grandeza O
del O
Imperio O
y O
laureado O
me O
pagarás O
lo O
que O
toma O
tu O
necesidad O
de O
mí O
y O
siempre O
te O
estás O
así O
Es O
cosa O
de O
burla O
Roma B-LOC
No O
hay O
más O
de O
llegar O
y O
ser O
su O
César O
y O
emperador O
de O
todo O
el O
mundo O
señor O
con O
absoluto O
poder O
Y O
es O
cosa O
de O
burla O
un O
pan O
y O
tomarle O
sin O
dinero O
Pagarte O
por O
Dios O
espero O
si O
es O
que O
el O
Imperio O
me O
dan O
Toma O
que O
cuando O
matares O
un O
jabalí O
tú O
serás O
emperador O
Si O
no O
es O
más O
tómale O
no O
hay O
que O
repares O
No O
tengo O
de O
reparar O
si O
me O
ha O
dicho O
esta O
mujer O
que O
César O
tengo O
de O
ser O
cuando O
llegare O
a O
matar O
un O
jabalí O
Y O
he O
tomado O
de O
tal O
manera O
el O
agüero O
que O
aunque O
de O
burlas O
lo O
espero O
siendo O
cual O
veis O
un O
soldado O
de O
tan O
poca O
estimación O
he O
muerto O
mil O
jabalíes O
Nunca O
en O
agüeros O
confíes O
La O
romana O
religión O
toda O
se O
funda O
en O
agüeros O
Come O
y O
deja O
de O
pensar O
en O
lo O
que O
no O
ha O
de O
llegar O
Tomad O
del O
pan O
compañeros O
que O
a O
verme O
yo O
por O
misterio O
en O
el O
Imperio O
algún O
día O
tan O
bien O
repartir O
sabría O
como O
este O
pan O
el O
Imperio O
Toma O
y O
come O
Maximiano O
que O
has O
de O
ser O
mi O
coadjutor O
Tú O
amiga O
por O
tanto O
amor O
si O
llego O
a O
César O
romano O
verás O
lo O
que O
eres O
por O
mí O
Tu O
ánimo O
me O
enamora O
quieres O
todo O
el O
pan O
ahora O
y O
cuanto O
trujere O
aquí O
Quieres O
el O
dinero O
Toma O
Ya O
te O
digo O
que O
ese O
amor O
cuando O
fuere O
emperador O
pienso O
pagártelo O
en O
Roma B-LOC
Muérome O
aunque O
humilde O
soy O
por O
hombres O
de O
pensamientos O
altos O
Qué O
furiosos O
vientos O
Llover O
quiere O
yo O
me O
voy O
pero O
tu O
nombre O
me O
di O
Yo O
me O
llamo O
Diocleciano O
Tú O
serás O
César O
romano O
en O
matando O
un O
jabalí O
Notablemente O
escurece O
el O
cielo O
su O
claridad O
Qué O
terrible O
escuridad O
Noche O
espantosa O
parece O
los O
relámpagos O
y O
truenos O
parecen O
cuando O
se O
halla O
la O
furia O
de O
una O
batalla O
Rómpense O
los O
negros O
senos O
de O
las O
nubes O
que O
despiden O
fuego O
que O
el O
aire O
dilata O
parecen O
sierpes O
de O
plata O
que O
su O
elemento O
dividen O
aun O
aquí O
se O
escucha O
el O
mar O
con O
espantosos O
bramidos O
Los O
elementos O
unidos O
se O
quieren O
desenlazar O
Las O
tiendas O
y O
pabellones O
de O
la O
tierra O
el O
viento O
saca O
Qué O
mucho O
una O
seca O
estaca O
asida O
a O
cuatro O
cordones O
si O
los O
más O
antiguos O
robles O
frondosas O
hayas O
sabinas O
fuertes O
robustas O
encinas O
palmas O
y O
laureles O
nobles O
saca O
del O
nativo O
asiento O
Huyamos O
a O
aquel O
peñasco O
Quién O
estuviera O
en O
Damasco B-LOC
debajo O
de O
un O
buen O
cimiento O
De O
los O
rayos O
me O
desmayo O
huye O
No O
tengas O
temor O
Cuándo O
has O
visto O
emperador O
romano O
muerto O
de O
rayo O
Qué O
furia O
es O
esta O
cielo O
con O
que O
te O
opones O
a O
mi O
brazo O
airado O
si O
montañas O
de O
hielo O
si O
volcanes O
de O
llamas O
he O
pasado O
No O
ves O
que O
son O
ensayos O
contra O
mis O
fuerzas O
tu O
granizo O
y O
rayos O
Entre O
balas O
de O
nieve O
escupes O
fieras O
víboras O
de O
fuego O
cuando O
Roma B-LOC
se O
atreve O
a O
la O
grandeza O
del O
Imperio O
griego O
No O
ves O
que O
mi O
sagrado O
laurel O
es O
a O
tu O
furia O
reservado O
No O
ves O
Júpiter O
santo O
que O
son O
tuyas O
las O
águilas O
de O
Roma B-LOC
Este O
sagrado O
manto O
revuelto O
al O
brazo O
y O
este O
acero O
doma O
desnudo O
al O
Parto O
al O
Medo O
y O
la O
región O
que O
el O
sol O
mira O
con O
miedo O
Yo O
soy O
Aurelio O
Caro O
yo O
soy O
César O
de O
Roma B-LOC
yo O
sustento O
debajo O
de O
mi O
amparo O
este O
mundo O
inferior O
si O
el O
firmamento O
es O
tuyo O
el O
suelo O
es O
mío O
que O
así O
reina O
partido O
el O
poderío O
Y O
tú O
Marte O
sagrado O
pues O
que O
fueron O
tus O
hijos O
los O
primeros O
que O
te O
han O
sacrificado O
en O
el O
romano O
Foro O
toros O
fieros O
calentando O
las O
aras O
con O
sangre O
que O
tiñó O
las O
sacras O
varas O
cómo O
con O
tempestades O
sufres O
que O
nuestro O
ejército O
divida O
en O
estas O
soledades O
las O
banderas O
de O
Roma B-LOC
y O
la O
temida O
corona O
en O
cuanto O
ha O
visto O
Febo O
desde O
el O
Antártico O
a O
Calixto O
Júpiter O
si O
pensara O
que O
las O
nubes O
sin O
ti O
mostrar O
podrían O
esta O
tremenda O
cara O
creyera O
que O
ignorabas O
que O
rompían O
contra O
Roma B-LOC
los O
senos O
preñados O
de O
relámpagos O
y O
truenos O
