Casta O
mujer O
para O
casta O
lo O
debe O
Octavia O
de O
ser O
No O
te O
quisiste O
poner O
el O
jaco O
Este O
broquel O
basta O
Por O
qué O
en O
aquesta O
ocasión O
con O
tal O
descuido O
te O
armas O
Porque O
jamás O
hacen O
armas O
lo O
que O
hace O
el O
corazón O
Llama O
a O
esa O
puerta O
derriba O
cuatro O
tablas O
de O
una O
coz O
Soy O
yo O
mula O
O O
da O
una O
voz O
que O
suba O
esa O
cuadra O
arriba O
No O
era O
mejor O
aguardar O
el O
hombre O
pues O
en O
efeto O
ha O
de O
bajar O
que O
el O
respeto O
de O
esta O
casa O
atropellar O
De O
qué O
se O
te O
ha O
de O
seguir O
no O
poder O
entrar O
después O
No O
quiero O
que O
tú O
me O
des O
consejo O
Estoy O
por O
decir O
que O
será O
mayor O
error O
averiguar O
esta O
duda O
Por O
qué O
si O
un O
agravio O
muda O
en O
menosprecio O
el O
amor O
Todos O
los O
que O
amáis O
decís O
que O
con O
celos O
olvidáis O
después O
tanto O
o O
más O
amáis O
cuantos O
más O
celos O
sufrís O
créeme O
y O
piénsalo O
bien O
déjale O
salir O
acá O
que O
la O
ocasión O
nos O
dirá O
lo O
que O
hemos O
de O
hacer O
también O
Son O
las O
mujeres O
de O
modo O
que O
si O
no O
la O
cojo O
aquí O
me O
ha O
de O
negar O
lo O
que O
vi O
jurando O
y O
mintiendo O
en O
todo O
Y O
más O
Octavia O
Ha O
estudiado O
Harame O
entender O
que O
ha O
sido O
la O
persona O
del O
querido O
la O
sombra O
del O
agraviado O
Cuánto O
va O
si O
estos O
enojos O
esta O
pendencia O
no O
allana O
que O
me O
ha O
de O
decir O
mañana O
que O
es O
ilusión O
de O
los O
ojos O
De O
suerte O
que O
en O
todo O
quieres O
que O
ella O
entienda O
que O
es O
liviana O
siendo O
la O
cosa O
más O
llana O
que O
hay O
agora O
entre O
mujeres O
Majadero O
cómo O
hablas O
de O
Octavia O
de O
esa O
manera O
No O
era O
porque O
rompiera O
con O
una O
coz O
cuatro O
tablas O
O O
es O
liviana O
o O
no O
lo O
es O
si O
lo O
es O
bien O
hablo O
ansí O
si O
no O
vámonos O
de O
aquí O
y O
volveremos O
después O
Algo O
estoy O
más O
reportado O
Salga O
el O
hombre O
que O
no O
quiero O
ser O
con O
Octavia O
tan O
fiero O
que O
estoy O
a O
Octavia O
obligado O
Pues O
de O
qué O
es O
la O
obligación O
si O
ha O
tres O
años O
si O
no O
ha O
más O
que O
ciego O
a O
su O
puerta O
estás O
como O
en O
su O
templo O
Sansón O
ahora O
bien O
tú O
te O
consuelas O
por O
mí O
yo O
también O
lo O
estoy O
Abren O
Sí O
a O
fe O
de O
quien O
soy O
Allí O
he O
visto O
dos O
rodelas O
dos O
arneses O
dos O
celadas O
dos O
venablos O
dos O
pistolas O
Y O
yo O
dos O
espadas O
solas O
y O
dos O
mujeres O
tapadas O
Salen O
Damacio O
y O
Liseo O
caballeros O
Tiene O
lindo O
entendimiento O
Por O
todo O
extremo O
es O
gallarda O
Hacia O
aquesta O
parte O
aguarda O
Dime O
tu O
más O
cierto O
intento O
por O
qué O
si O
hemos O
de O
reñir O
no O
me O
cojan O
descuidado O
Tienta O
la O
espada O
(Tentado O
estoy O
vive O
Dios O
de O
huir) O
La O
criada O
me O
conviene O
que O
solicitéis O
que O
es O
puerta O
que O
el O
que O
la O
tuviere O
abierta O
el O
alma O
de O
Octavia O
tiene O
Tiene O
harto O
buen O
parecer O
y O
no O
es O
boba O
vive O
Dios O
(Qué O
tratarán O
estos O
dos O
De O
los O
dos O
debe O
de O
ser) O
Buen O
agrado O
tiene O
Octavia O
Tan O
bueno O
que O
os O
agradó O
(Siempre O
Octavia O
me O
engañó O
pues O
de O
esta O
suerte O
me O
agravia) O
Vamos O
a O
casa O
que O
es O
tarde O
Dos O
hombres O
he O
visto O
allí O
Hace O
a O
estas O
horas O
aquí O
amor O
de O
amantes O
alarde O
Preguntad O
si O
pasaremos O
No O
se O
usa O
en O
Valladolid B-LOC
Ya O
es O
otro O
tiempo O
advertid O
que O
algún O
celoso O
tendremos O
Mejor O
es O
reconocer O
Si O
salimos O
bien O
mejor O
(Yo O
hablo O
Deja O
señor O
que O
pasen) O
Qué O
puede O
ser O
Qué O
miran O
o O
qué O
pretenden O
Qué O
buscan O
Qué O
reconocen O
Conocen O
o O
no O
conocen O
que O
en O
reconocer O
ofenden O
La O
casa O
donde O
han O
entrado O
tiene O
dueño O
que O
soy O
yo O
Por O
cierto O
que O
ella O
escogió O
dueño O
al O
parecer O
honrado O
Sois O
marido O
Ni O
aun O
quisiera O
Qué O
sois O
No O
quiero O
decir O
lo O
que O
soy O
Ni O
yo O
sufrir O
tan O
enfadosa O
quimera O
Meten O
mano O
Aquí O
Liseo O
Sospecho O
que O
hallaréis O
un O
pecho O
honrado O
Sí O
pero O
con O
mucho O
enfado O
y O
de O
muy O
poco O
provecho O
Vanse O
riñendo O
y O
salen O
Octavia O
y O
Beatriz O
su O
criada))) O
No O
sientes O
las O
cuchilladas O
No O
soy O
muy O
espantadiza O
era O
alguna O
fiesta O
hechiza O
de O
estas O
de O
danza O
de O
espadas O
Hay O
galán O
de O
los O
de O
agora O
que O
con O
amigos O
concierta O
esta O
borrasca O
a O
la O
puerta O
de O
la O
querida O
señora O
porque O
los O
más O
de O
los O
hombres O
creen O
de O
la O
nuestra O
flaqueza O
que O
nos O
mata O
la O
braveza O
Ay O
por O
Dios O
No O
me O
lo O
nombres O
que O
estoy O
como O
un O
alabastro O
de O
los O
pies O
a O
los O
cabellos O
Yo O
en O
viendo O
un O
bravo O
de O
aquellos O
pienso O
que O
es O
hombre O
del O
rastro O
Maldiga O
Dios O
la O
mujer O
que O
gusta O
de O
estos O
Aquiles O
Ello O
es O
de O
mujeres O
viles O
que O
honradas O
no O
pueden O
ser O
Muertas O
por O
una O
prisión O
ir O
a O
la O
cárcel O
llevar O
la O
comidilla O
empeñar O
la O
basquiña O
y O
el O
jubón O
hablar O
al O
procurador O
dar O
dinero O
al O
escribano O
que O
declare O
el O
cirujano O
que O
vaya O
aprisa O
el O
doctor O
decir O
entre O
sus O
iguales O
que O
le O
sacó O
de O
galeras O
y O
en O
pago O
de O
aquestas O
veras O
obras O
de O
amor O
y O
honras O
tales O
quedan O
cuando O
más O
la O
