Qué O
lindas O
posadas O
Frescas O
No O
hay O
calor O
Chinches O
y O
ropa O
tienen O
fama O
en O
toda O
Europa B-LOC
Famoso O
lugar O
Illescas B-LOC
No O
hay O
en O
todos O
los O
que O
miras O
quien O
le O
iguale O
Aun O
si O
supieses O
la O
causa O
Cuál O
es O
Dos O
meses O
de O
guindas O
y O
de O
mentiras O
Como O
aquí O
Turín O
se O
juntan O
de O
la O
Corte O
y O
de O
Sevilla B-LOC
Andalucía B-LOC
y O
Castilla B-LOC
unos O
a O
otros O
preguntan O
unos O
de O
las O
Indias B-LOC
cuentan O
y O
otros O
con O
discursos O
largos O
de O
provisiones O
y O
cargos O
cosas O
que O
el O
vulgo O
alimentan O
No O
tomaste O
las O
medidas O
Una O
docena O
tomé O
Y O
imágenes O
Con O
la O
fe O
que O
son O
de O
España B-LOC
admitidas O
por O
milagrosas O
en O
todo O
cuanto O
en O
cualquiera O
ocasión O
les O
pide O
la O
devoción O
y O
el O
nombre O
Pues O
dese O
modo O
lleguen O
las O
postas O
y O
vamos O
No O
has O
de O
comer O
Aguardar O
a O
que O
se O
guise O
es O
pensar O
que O
a O
media O
noche O
llegamos O
y O
un O
desposado O
Turín O
ha O
de O
llegar O
cuando O
pueda O
lucir O
Muy O
atrás O
se O
queda O
con O
el O
repuesto O
Marín O
pero O
yo O
traigo O
qué O
comas O
Qué O
traes O
Ya O
lo O
verás O
Dilo O
Guarda O
Necio O
estás O
Desto O
pesadumbre O
tomas O
Pues O
para O
decir O
lo O
que O
es O
Hay O
a O
quien O
pesa O
de O
oír O
su O
nombre O
basta O
decir O
que O
tú O
lo O
sabrás O
después O
Entretiénese O
la O
hambre O
con O
saber O
qué O
ha O
de O
comer O
Pues O
sábete O
que O
ha O
de O
ser O
Presto O
tocino O
fiambre O
Pues O
a O
quién O
puede O
pesar O
de O
oír O
nombre O
tan O
hidalgo O
Turín O
si O
me O
has O
de O
dar O
algo O
qué O
cosa O
me O
puedes O
dar O
que O
tenga O
igual O
a O
ese O
nombre O
Esto O
y O
una O
hermosa O
caja O
Dame O
de O
queso O
una O
raja O
que O
nunca O
el O
dulce O
es O
muy O
hombre O
Esas O
liciones O
no O
son O
de O
galán O
ni O
desposado O
Aún O
agora O
no O
he O
llegado O
Las O
damas O
de O
corte O
son O
todas O
un O
fino O
cristal O
trasparentes O
y O
divinas O
Turín O
las O
más O
cristalinas O
comerán O
Es O
natural O
Pero O
esta O
hermosa O
Finea O
con O
quien O
a O
casarte O
vas O
comerá O
Dilo O
no O
más O
de O
azúcar O
maná O
y O
jalea O
Pasarase O
una O
semana O
con O
dos O
puntos O
en O
el O
aire O
de O
azúcar O
Gentil O
donaire O
Qué O
piensas O
dar O
a O
su O
hermana O
A O
Nise O
su O
hermana O
bella O
una O
rosa O
de O
diamantes O
que O
así O
tengan O
los O
amantes O
tales O
firmezas O
con O
ella O
y O
una O
cadena O
también O
que O
compite O
con O
la O
rosa O
Dicen O
que O
es O
también O
hermosa O
Mi O
esposa O
parece O
bien O
si O
doy O
crédito O
a O
la O
fama O
De O
su O
hermana O
poco O
sé O
pero O
basta O
que O
me O
dé O
lo O
que O
más O
se O
estima O
y O
ama O
Bello O
golpe O
de O
dinero O
Son O
cuarenta O
mil O
ducados O
Bravo O
dote O
Si O
contados O
los O
llego O
a O
ver O
como O
espero O
De O
un O
macho O
con O
guarniciones O
verdes O
y O
estribos O
de O
palo O
se O
apea O
un O
hidalgo O
Malo O
si O
la O
merienda O
me O
pones O
de O
camino O
Huésped O
habrá O
qué O
comer O
Seáis O
señor O
bien O
llegado O
Y O
vos O
en O
la O
misma O
hallado O
A O
Madrid B-LOC
Dejele O
ayer O
cansado O
de O
no O
salir O
con O
pretensiones O
cansadas O
Ésas O
van O
adjetivadas O
con O
esperar O
y O
sufrir O
Holgara O
por O
ir O
con O
vos O
lleváramos O
un O
camino O
Si O
vais O
a O
lo O
que O
imagino O
nunca O
lo O
permita O
Dios O
No O
llevo O
qué O
pretender O
a O
negocios O
hechos O
voy O
Sois O
de O
ese O
lugar O
Sí O
soy O
Luego O
podréis O
conocer O
la O
persona O
que O
os O
nombrare O
Es O
Madrid B-LOC
una O
talega O
de O
piezas O
